user_id;age;attraction_distribution;coins;country;retention_days;sex;user_dating.age_start;user_dating.age_end;view_count;was_special;is_special;total_revenue
114082925;25;435;;US;1,2,3,4,5,6;0;22;32;982;;;0
114439789;29;500;;US;1,2;1;26;32;12;;;0
114298986;33;800;;FR;1,2,3,5,6,8,9,11,13,16;1;30;36;5;;;0
114502368;26;0;;AR;1,2,3,4,5;1;23;29;0;;;0
114187112;35;294;;US;1,2,3,5,6,7,8,9,10,12,15,16,17,19;1;30;40;17;;;0
114356643;28;400;28;CL;1,2;1;25;31;25;;;6396
114137688;20;100;;US;1,2,3,4,5,7,8,9,11,12,13,14,15,17,18,19,20,21,23,25,26;1;17;23;10;;;0
114285812;25;545;;IT;2,4,6,8,9,11,12,14,15,16,17;1;18;39;11;;;0
114446093;38;0;;CL;1,2,3;1;35;41;2;;;0
114173961;49;0;;US;;1;46;52;0;;;0
114094852;20;0;;US;1;1;16;20;8;;;0
114343533;32;0;;AU;1,2;1;29;35;1;;;0
114135057;21;0;;US;1,3;1;18;30;0;;;0
114199534;37;0;;FR;;1;16;79;0;;;0
114457060;23;600;;DE;1,2,3,4,5,7;1;20;26;10;;;0
114255778;30;0;;US;;1;27;33;7;;;0
114320457;53;0;;ES;;1;50;56;0;;;0
114503334;37;571;;US;2,4;1;34;40;7;;;0
114389267;39;76;;IL;1,2,3,4,5;1;36;42;26;;;0
114417175;31;1000;;US;1,2,3,4,5,7,8,9,10;1;28;34;2;;;0
114288487;28;0;;GB;;1;42;60;0;;;0
114205664;29;0;;AE;1,3,4,5,6,7,8,10,11,12,13,14,15,16,18,19,20,21;1;26;43;0;;;0
114339889;46;0;;BE;;1;43;49;0;;;0
114062925;23;948;;US;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,60;1;20;99;411;;;0
114071556;23;0;;PT;1;1;20;26;0;;;0
114078675;28;0;;US;1,2;1;25;31;0;;;0
114185408;35;416;;BE;1,2,4,5,6,7,8,10,11,12,13,14,15,16,18,19;1;19;33;12;1;;0
114223005;25;0;;GB;2,4,5;1;22;28;2;;;0
114213587;25;242;;US;1;0;22;28;214;;;0
114099926;22;0;;IT;;1;19;25;0;;;0
114375473;22;0;;US;1,2,3,4,5;1;19;25;0;;;0
114168442;40;353;;BE;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25;1;19;60;99;;;0
114466888;21;300;;US;1,2,3,4,5,6,7;1;18;24;10;;;0
114238801;23;0;;US;;1;20;26;0;;;0
114338733;28;0;;FR;;1;25;31;0;;;0
114296079;20;1000;;FR;3,4,5,6,7,8,10,11,13,14;1;17;23;4;;;0
114280446;23;0;;IT;1,15;1;20;26;3;;;0
114190953;23;392;;US;1,2,3,4;1;20;26;79;;;0
