user_id;age;attraction_distribution;coins;country;retention_days;sex;user_dating.age_start;user_dating.age_end;view_count;was_special;is_special;total_revenue
114085998;27;685;;US;1,2,3,4,5,6,7,8,9,10,11,12,16,17;1;24;30;89;;;0
114174458;27;0;;DE;;1;24;30;0;;;0
114127394;45;44;;IL;1,3,4,6,7,8,10,11,12,13,14,15,16,17,18,19,20,22,23,26;1;42;48;68;;;0
114145866;32;0;;US;1,2,3,4,5,6,7,8,9,10,11,12;1;29;35;0;;;0
114387285;27;1000;;FR;;1;24;30;1;1;;0
114494919;24;0;;ES;1;1;16;27;0;;;0
114421203;39;0;;FR;;1;36;42;0;;;0
114045490;21;909;;AU;;1;18;24;11;;;0
114494040;28;0;;IT;1,2,3,4;1;25;31;1;;;0
114475061;30;600;;IL;1,2,4,5,6;1;19;33;10;;;0
114491798;27;0;;AR;1,2,4;1;19;32;0;;;0
114159004;46;349;;DE;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25;1;28;49;106;;;0
114238046;23;166;;ES;1,2;1;20;99;6;;;0
114449397;30;1000;;US;;1;27;33;1;1;;0
114457692;51;277;;DE;1,2,3,4,5,6,7,8;1;48;54;108;;;0
114131807;26;600;;US;1;1;23;29;5;;;0
114245125;20;0;;US;;1;17;23;1;;;0
114197769;37;625;;BE;1;1;34;40;16;;;0
114108725;30;0;;AZ;;1;16;50;0;;;0
114062825;27;0;;ES;1,2,3,5;1;24;30;4;;;0
114471700;29;769;;ES;2,5,6;1;16;32;13;1;1;12597
114446968;28;0;;AU;;1;16;28;0;;;0
114061715;24;222;;US;;1;21;27;9;;;0
114223960;27;500;;ES;1;1;20;28;2;;;0
114371080;57;98;;IT;1,2,3,4,6,7,9,11;1;54;60;71;;;0
114330980;49;0;;CL;3;1;46;52;4;;;0
114408065;34;1000;;FR;;1;31;37;1;;;0
114211599;19;83;;US;;1;16;22;12;;;0
114410162;38;500;;US;1,2,3,4;1;35;41;2;;;0
114230616;43;200;;PT;1,2,3,4,6,7,9,10,13,15,17;1;40;46;5;;;0
114412842;35;111;;IL;;1;32;38;18;;;0
114429972;55;0;;US;;1;40;73;1;;;0
114442510;26;709;;BE;;0;18;54;262;;;0
114055834;47;74;;IL;1,2,3;1;44;50;81;;;0
114289755;44;0;;IT;;1;41;47;0;;;0
114078078;50;436;4;US;1,2,3,4;1;47;53;126;;;897
114406476;24;466;;US;;1;16;36;15;1;;0
114326068;24;500;;US;1,2,3,4,5,6,7,8,9,10,11;1;21;27;2;;;0
114065505;16;1000;;CL;;1;16;20;2;;;0
114085293;31;200;;US;;1;16;50;10;;;0
114446198;20;0;;US;1;1;17;23;4;;;0
114157556;59;1000;;FR;;1;35;62;6;;;0
114502599;29;0;;GB;;1;26;32;0;;;0
114502776;32;0;;ES;;1;29;35;0;;;0
114326217;21;303;37;IT;1,2,3,4,5,6,7,8,9;1;18;24;181;1;1;37817
114427386;22;500;;US;1,2,3,4,6,8;1;19;25;4;;;0
114248728;31;90;;AR;1,2,3,4,5;1;19;34;11;;;0
114059985;42;0;;US;1;0;39;75;0;;;0
114155908;25;0;;ES;2,4,5;1;22;28;2;;;0
114183556;47;744;;US;1;1;44;50;47;;;0
114474551;32;500;;US;;1;29;35;2;;;0
114413502;23;200;;IT;2,3,5,7,8;1;20;26;5;;;0
114422322;21;1000;;IT;1,2,3,4,5,6,7,9;1;18;24;2;;;0
114480777;24;1000;;US;1,3;1;21;27;2;;;0
114164913;20;0;;US;;0;17;23;3;;;0
114230265;32;629;;AE;1,2,3,4,5,6;1;25;60;27;;;0
114494557;38;0;;AR;1;1;23;45;1;;;0
114074247;28;800;;MA;1,2,3,4,5,6;1;25;31;5;;;0
114044636;20;333;;US;1,2,3,4,6,8,10;1;17;30;9;1;;0
114142373;62;351;;IT;1,2,3,4,5,6,7;1;16;92;148;1;;0
114281617;27;1000;;ES;1,3;1;24;30;1;;;0
114071080;18;416;;GT;1,2,3,4,5,6,7,8,9,13,14,16,17,18,19,21,22,23,24,27,30,60;1;15;21;12;;;0
114295445;21;0;;IT;2;1;18;24;3;;;0
114428413;21;1000;;US;;1;18;24;3;;;0
114421323;22;0;;US;;1;19;25;0;;;0
114457766;24;0;;US;;1;21;27;0;;;0
114313532;21;250;;IT;;1;21;34;4;;;0
114044381;16;571;;US;1,2,3;1;16;32;14;;;0
114415638;36;428;;CL;1,2,3,4,5,7,8;1;33;39;7;;;0
114204560;23;350;;US;2,3,4,5,7,8,9,11,12;1;20;26;20;;;0
114219072;38;0;;AR;1,2;1;35;41;0;;;0
114146110;26;442;;AE;1,2,3,4,5,6,7,8,9,11;1;23;29;61;;;0
114154575;40;823;;IT;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;1;16;20;17;;;0
114112711;20;153;;CL;1;1;17;23;26;;;0
114061328;22;238;;US;1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,60;1;19;25;42;;;0
114128537;33;400;;US;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26;0;30;36;1186;;;0
114084255;20;134;;IL;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29;1;16;21;52;;;0
114072959;40;714;;US;3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30;1;37;43;203;;;0
114427023;25;0;;CL;1,2,3,4;1;22;28;0;;;0
114156028;27;166;;CL;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25;1;23;29;6;;;0
114315189;45;159;;US;;0;42;48;808;;;0
114288848;24;673;;CA;;0;21;27;144;;;0
114380925;31;55;;GB;1;1;28;69;18;;;0
114439884;33;62;;ES;;1;30;36;16;;;0
114193842;41;461;;US;1,2,3,4,5,6,7,8,9,11,12,13,14,15,17,18,19,21,22;1;38;44;52;;;0
114078546;20;0;;ES;1;1;17;23;1;;;0
114484503;28;1000;;ES;1,2,3,4,5;1;25;31;1;;;0
114427365;37;500;;AU;;1;34;40;2;;;0
114417218;23;0;;US;1;1;20;26;1;;;0
114197650;58;553;;US;;1;19;39;47;;;0
114062027;26;750;;US;1;1;19;49;4;;;0
114455921;39;0;;DE;1,2,3,4,5,7;1;36;42;0;;;0
114447544;43;416;;CL;1,2,3,4,5,6,7,8;1;25;50;60;;;0
114172611;39;200;;ES;1,8;1;36;42;5;;;0
114404834;33;818;;ES;2,3,4,6,7,9;1;16;36;11;;;0
114373093;23;0;;IT;;1;20;26;4;;;0
114395314;22;500;;IT;;1;19;25;4;;;0
114268842;24;0;;CL;1,3,4,5,7,8,9,10,12,13,14,15,16,17;1;20;29;2;;;0
114471742;38;550;;US;1,2,3,4;0;40;99;656;;;0
114174207;16;1000;;CL;;1;13;19;3;;;0
114408073;26;0;24;FR;1,2,3,4,5,6,7,8,9;1;23;35;37;1;1;21580
114277586;29;250;;CL;1,2,8,9,10,11,12,15,16,17,18;1;26;32;4;;;0
114420295;30;0;;FR;;1;23;33;0;;;0
114137269;16;0;;US;2,8,10,20,22,26;0;16;46;0;;;0
114406995;49;93;;DE;1;1;33;49;64;;;0
114045634;28;181;;US;1,2;1;25;31;22;1;1;12727
114178466;18;71;;US;;1;18;21;14;;;0
